-,-,-
-374, -878, 681
-346, -934, 672
-346, -934, 672
-335, -976, 723
-244, -940, 756
-168, -885, 613
-165, -900, 550
-271, -870, 569
-413, -837, 641
-442, -753, 581
-409, -669, 388
-443, -607, 297
-611, -568, 292
-692, -534, 357
-692, -534, 357
-708, -473, 298
-671, -384, 184
-748, -342, 152
-779, -293, 178
-771, -239, 153
-799, -225, 104
-710, -189, 90
-609, -126, 119
-537, -95, 218
-474, -99, 168
-474, -99, 168
-435, -116, 215
-411, -142, 288
-655, -209, 424
-846, -269, 515
-822, -251, 624
-789, -305, 735
-833, -413, 720
-926, -438, 771
-1128, -509, 923
-1119, -531, 863
-936, -473, 723
-936, -473, 723
-954, -528, 685
-1009, -504, 674
-1120, -414, 641
-1294, -320, 624
-1369, -228, 532
-1269, -139, 446
-1170, -67, 353
-1104, -21, 304
-1098, -1, 297
-1100, 21, 310
-1095, 32, 417
-1058, 68, 499
-1058, 68, 499
-1054, 65, 516
-1052, -2, 534
-1016, -75, 538
-890, -105, 649
-768, -118, 725
-661, -166, 760
-486, -232, 778
-342, -313, 765
-219, -414, 749
-162, -507, 768
-162, -507, 768
-110, -595, 777
-61, -658, 871
-35, -693, 936
-65, -738, 928
-176, -757, 944
-342, -783, 942
-478, -785, 945
-611, -766, 935
-746, -756, 933
-746, -756, 933
-840, -749, 884
-897, -742, 841
-954, -738, 758
-960, -730, 753
-936, -672, 709
-933, -653, 703
-938, -626, 707
-882, -585, 729
-814, -529, 704
-805, -506, 669
-752, -467, 601
-739, -423, 457
-739, -423, 457
-692, -349, 362
-570, -285, 275
-425, -240, 269
-416, -253, 274
-376, -261, 285
-332, -303, 260
-324, -363, 251
-350, -425, 231
-345, -503, 248
-335, -580, 295
-331, -645, 395
-331, -645, 395
-360, -699, 410
-445, -762, 431
-486, -819, 486
-433, -851, 567
-392, -868, 699
-331, -846, 743
-306, -822, 749
-392, -793, 796
-439, -766, 858
-391, -717, 779
-388, -625, 624
-388, -625, 624
-579, -529, 475
-850, -414, 393
-1024, -277, 271
-1154, -175, 132
-1230, -111, 23
-1269, -100, -69
-1274, -86, -132
-1320, -105, -100
-1253, -152, 12
-1112, -200, 81
-991, -274, 160
